red_fighter_name;blue_fighter_name;event_date
CHEYANNE VLISMAS;GLORIA DE PAULA;31/07/2021
NIKLAS STOLZE;JARED GOODEN;31/07/2021
COLLIN ANGLIN;MELSIK BAGHDASARYAN;31/07/2021
CHRIS GRUETZEMACHER;RAFA GARCIA;31/07/2021
DIANA BELBITA;HANNAH GOLDY;24/07/2021
AMANDA LEMOS;MONTSERRAT CONEJO RUIZ;17/07/2021
KHALID TAHA;SERGEY MOROZOV;17/07/2021
DUSTIN POIRIER;CONOR MCGREGOR;10/07/2021
IRENE ALDANA;YANA SANTOS;10/07/2021
OMARI AKHMEDOV;BRAD TAVARES;10/07/2021
JULIAN EROSA;SEUNGWOO CHOI;19/06/2021
LAUREN MURPHY;JOANNE WOOD;12/06/2021
FARES ZIAM;LUIGI VENDRAMINI;12/06/2021
MONTANA DE LA ROSA;ARIANE DA SILVA;05/06/2021
DAVID DVORAK;JUANCAMILO RONDEROS;22/05/2021
KATLYN CERMINARA;VIVIANE ARAUJO;15/05/2021
MARINA RODRIGUEZ;MICHELLE WATERSON-GOMEZ;08/05/2021
ZHANG WEILI;ROSE NAMAJUNAS;24/04/2021
BATGEREL DANAA;KEVIN NATIVIDAD;24/04/2021
KAZULA VARGAS;RONGZHU;24/04/2021
AORIQILENG;JEFF MOLINA;24/04/2021
LIANG NA;ARIANE CARNELOSSI;24/04/2021
TRACY CORTEZ;JUSTINE KISH;17/04/2021
ALEXANDR ROMANOV;JUAN ESPINO;17/04/2021
BARTOSZ FABINSKI;GERALD MEERSCHAERT;17/04/2021
MARVIN VETTORI;KEVIN HOLLAND;10/04/2021
ARNOLD ALLEN;SODIQ YUSUFF;10/04/2021
DA WOON JUNG;WILLIAM KNIGHT;10/04/2021
CHEYANNE VLISMAS;MONTSERRAT CONEJO RUIZ;20/03/2021
THIAGO SANTOS;ALEKSANDAR RAKIC;06/03/2021
SONG YADONG;KYLER PHILLIPS;06/03/2021
JOSEPH BENAVIDEZ;ASKAR ASKAROV;06/03/2021
PEDRO MUNHOZ;JIMMIE RIVERA;27/02/2021
ALEXANDER HERNANDEZ;THIAGO MOISES;27/02/2021
ALEXIS DAVIS;SABINA MAZO;27/02/2021
KETLEN VIEIRA;YANA SANTOS;20/02/2021
GABE GREEN;PHIL ROWE;13/02/2021
CORY SANDHAGEN;FRANKIE EDGAR;06/02/2021
SEUNGWOO CHOI;YOUSSEF ZALAL;06/02/2021
DUSTIN POIRIER;CONOR MCGREGOR;23/01/2021
DAN HOOKER;MICHAEL CHANDLER;23/01/2021
JESSICA EYE;JOANNE WOOD;23/01/2021
ANDREW SANCHEZ;MAKHMUD MURADOV;23/01/2021
MARINA RODRIGUEZ;AMANDA RIBAS;23/01/2021
ARMAN TSARUKYAN;MATT FREVOLA;23/01/2021
BRAD TAVARES;ANTONIO CARLOS JUNIOR;23/01/2021
JULIANNA PENA;SARA MCMANN;23/01/2021
KHALIL ROUNTREE JR.;MARCIN PRACHNIO;23/01/2021
NIK LENTZ;MOVSAR EVLOEV;23/01/2021
AMIR ALBAZI;ZHALGAS ZHUMAGULOV;23/01/2021
SUMUDAERJI;ZARRUKH ADASHEV;20/01/2021
MAX HOLLOWAY;CALVIN KATTAR;16/01/2021
CARLOS CONDIT;MATT BROWN;16/01/2021
SANTIAGO PONZINIBBIO;LI JINGLIANG;16/01/2021
JOAQUIN BUCKLEY;ALESSIO DI CHIRICO;16/01/2021
PUNAHELE SORIANO;DUSKO TODOROVIC;16/01/2021
WU YANAN;JOSELYNE EDWARDS;16/01/2021
CARLOS FELIPE;JUSTIN TAFA;16/01/2021
DAVID ZAWADA;RAMAZAN EMEEV;16/01/2021
SARAH MORAS;VANESSA MELO;16/01/2021
JACOB KILBURN;AUSTIN LINGO;16/01/2021
TECIA PENNINGTON;SAM HUGHES;12/12/2020
ASHLEE EVANS-SMITH;NORMA DUMONT;28/11/2020
JONATHAN PEARCE;KAI KAMAKA;28/11/2020
SUMUDAERJI;MALCOLM GORDON;28/11/2020
KATLYN CERMINARA;CYNTHIA CALVILLO;21/11/2020
ANTONINA SHEVCHENKO;ARIANE DA SILVA;21/11/2020
DANIEL RODRIGUEZ;NICOLAS DALBY;21/11/2020
ALAN JOUBAN;JARED GOODEN;21/11/2020
BRYCE MITCHELL;ANDRE FILI;31/10/2020
MAURICE GREENE;GREG HARDY;31/10/2020
KING GREEN;THIAGO MOISES;31/10/2020
MILES JOHNS;KEVIN NATIVIDAD;31/10/2020
JACOB MALKOUN;PHIL HAWES;24/10/2020
LAUREN MURPHY;LILIYA SHAKIROVA;24/10/2020
MAGOMED ANKALAEV;ION CUTELABA;24/10/2020
BRIAN ORTEGA;CHAN SUNG JUNG;17/10/2020
KATLYN CERMINARA;JESSICA ANDRADE;17/10/2020
JIMMY CRUTE;MODESTAS BUKAUSKAS;17/10/2020
CLAUDIO SILVA;JAMES KRAUSE;17/10/2020
THOMAS ALMEIDA;JONATHAN MARTINEZ;17/10/2020
MATEUSZ GAMROT;GURAM KUTATELADZE;17/10/2020
GILLIAN ROBERTSON;POLIANA BOTELHO;17/10/2020
JUNYONG PARK;JOHN PHILLIPS;17/10/2020
JAMIE MULLARKEY;FARES ZIAM;17/10/2020
GADZHIMURAD ANTIGULOV;MAXIM GRISHIN;17/10/2020
SAID NURMAGOMEDOV;MARK STRIEGL;17/10/2020
MARLON MORAES;CORY SANDHAGEN;10/10/2020
EDSON BARBOZA;MAKWAN AMIRKHANI;10/10/2020
BEN ROTHWELL;MARCIN TYBURA;10/10/2020
MARKUS PEREZ;DRICUS DU PLESSIS;10/10/2020
TOM ASPINALL;ALAN BAUDOT;10/10/2020
YOUSSEF ZALAL;ILIA TOPURIA;10/10/2020
TOM BREESE;KB BHULLAR;10/10/2020
CHRIS DAUKAUS;RODRIGO NASCIMENTO;10/10/2020
IMPA KASANGANAY;JOAQUIN BUCKLEY;10/10/2020
ALI ALQAISI;TONY KELLEY;10/10/2020
GIGA CHIKADZE;OMAR MORALES;10/10/2020
TRACY CORTEZ;STEPHANIE EGGER;10/10/2020
BRUNO SILVA;TAGIR ULANBEKOV;10/10/2020
HOLLY HOLM;IRENE ALDANA;03/10/2020
YORGAN DE CASTRO;CARLOS FELIPE;03/10/2020
GERMAINE DE RANDAMIE;JULIANNA PENA;03/10/2020
KYLER PHILLIPS;CAMERON ELSE;03/10/2020
DEQUAN TOWNSEND;DUSKO TODOROVIC;03/10/2020
CARLOS CONDIT;COURT MCGEE;03/10/2020
JORDAN WILLIAMS;NASSOURDINE IMAVOV;03/10/2020
LOMA LOOKBOONMEE;JINH YU FREY;03/10/2020
CASEY KENNEY;ALATENGHEILI;03/10/2020
LUIGI VENDRAMINI;JESSIN AYARI;03/10/2020
ISRAEL ADESANYA;PAULO COSTA;26/09/2020
DOMINICK REYES;JAN BLACHOWICZ;26/09/2020
KAI KARA-FRANCE;BRANDON ROYVAL;26/09/2020
KETLEN VIEIRA;SIJARA EUBANKS;26/09/2020
